id,date,period,source_type,source_label,practice_action,outcome_type,theme,medium,intensity,confidence,affect,influence_on_direction,reflexive_note,evidence_link,tags,series,,,,,,,,,
Y1-J001,18/09/25,Year 1 / Term 1,reading,Archive theory reading cluster,coding,question,archive,text,2,2,curious,opened,Reading around the archive widened the project scope and showed that classification itself might be a design act rather than just a storage problem.,Reading notes week 1,archive; theory,journal,,,,,,,,,
Y1-J002,22/09/25,Year 1 / Term 1,conversation,Induction conversation with peers,documenting,clarification,method,conversation,1,2,energised,opened,"Talking through colleague's methods made me realise I wanted a process that could hold digital artefacts, metadata notes and computational experiments together.",Induction notes,cohort; method,journal,,,,,,,,,
Y1-J003,24/09/25,Year 1 / Term 1,making,Studio mapping of research interests,mapping,insight,visualisation,sketch,3,2,excited,strengthened,"The hand-drawn map showed that graphic design, archives  and machine learning were already entangled in my thinking even before I had language for it.",Sketchbook spread 03,mapping; studio,journal,,,,,,,,,
Y1-J004,26/09/25,Year 1 / Term 1,reading,Paper on visual analytics,reframing,insight,visualisation,text,3,3,energised,shifted,I started to see visual analytics not as a neutral reporting tool but as something that could surface my own decision-making in the research.,Annotated PDF,visual analytics; framing,journal,,,,,,,,,
Y1-J005,29/09/25,Year 1 / Term 1,coding,Database authorities cleaning test in PostgreSQL,testing,clarification,data science,code,2,2,curious,strengthened,Cleaning a small archival dataset exposed how much interpretation hides inside supposedly basic preprocessing.,Repo commit 01,python; cleaning,journal,,,,,,,,,
Y1-J006,30/09/25,Year 1 / Term 1,supervision,Supervisor meeting on first-year scope,documenting,clarification,method,text,2,3,unsettled,strengthened,The discussion forced me to define whether the PhD was about building a system or using systems as a way to think.,Supervision notes 2025-09-30,scope; supervision,journal,,,,,,,,,
Y1-J007,03/10/25,Year 1 / Term 1,archival research,Visit to RCA special collections,documenting,question,archive,image,3,2,curious,opened,The metadata structure felt authoritative and brittle at once; I noted how visual order can hide archival bias.,Reference photos / fieldnotes,metadata; archive,journal,,,,,,,,,
Y1-J008,07/10/25,Year 1 / Term 1,reading,Seminar text on participation,reframing,insight,participation,text,3,2,energised,shifted,Realised I was framing the work too much around the API and not enough around critical insights and analysis.,Notebook p12 / reading notes,theory; framing,journal,,,,,,,,,
Y1-P001,07/10/25,Year 1 / Term 1,making,API statement of work + first archive system sketch,prototyping,clarification,archive,prototype,3,2,energised,opened,Drafting the statement of work made the archive feel less like a vague aspiration and more like a research instrument.,Review of practice 9.docx; Kanban wip board; SR1 09 Oct 2025,api; scope; architecture,practice,,,,,,,,,
Y1-P002,09/10/25,Year 1 / Term 1,supervision,Practice positioned as MVP in supervision,reframing,clarification,method,text,2,3,reflective,shifted,Framing the practice as an MVP lowered the pressure to make a finished product and made iteration feel legitimate.,SR1 09 Oct 2025,mvp; supervision; method,practice,,,,,,,,,
Y1-J009,10/10/25,Year 1 / Term 1,graphic design,Poster-style timeline of process,mapping,confidence,graphic design,image,3,3,excited,strengthened,Designing the timeline made the project legible to me; the act of layout became a form of analysis.,Figma export v1,layout; timeline,journal,,,,,,,,,
Y1-J010,14/10/25,Year 1 / Term 1,coding,Keyword extraction test on archival records,testing,dead end,machine learning,code,4,2,frustrated,disrupted,I treated the records as stable text objects and got shallow results; the failure exposed how messy the source material really was.,VSCode 02,nlp; failure,journal,,,,,,,,,
